id,Country,Date_Comment
0,Morocco,Check
1,Jamaica,Check
2,Belize,Check
3,Australia,Check
4,Australia,Check
5,USA,Check
6,USA,Check
7,USA,Check
8,USA,Check
9,USA,Check
10,USA,Check
11,USA,Check
12,USA,Check
13,USA,Check
14,Maldive Islands,Check
15,USA,Check
16,Turks and Caicos,Check
17,French Polynesia,Check
18,USA,Check
19,Tobago,Check
20,Bahamas,Check
21,Australia,Check
22,Australia,Check
23,Maldive Islands,Check
24,Maldive Islands,Check
25,AUSTRALIA,Check
26,USA,Check
27,USA,Check
28,AUSTRALIA,Check
29,INDIA,Check
30,TRINIDAD,Check
31,AUSTRALIA,Check
32,BAHAMAS,Check
33,AUSTRALIA,Check
34,SOUTH AFRICA,Check
35,USA,Check
36,MEXICO,Check
37,AUSTRALIA,Check
38,AUSTRALIA,Check
39,AUSTRALIA,Check
40,NEW ZEALAND,Check
41,MEXICO,Check
42,MEXICO,Check
43,AUSTRALIA,Check
44,BAHAMAS,Check
45,MEXICO,Check
46,AUSTRALIA,Check
47,BAHAMAS,Check
48,AUSTRALIA,Check
49,USA,Check
50,AUSTRALIA,Check
51,NEW ZEALAND,Check
52,EGYPT,Check
53,AUSTRALIA,Check
54,USA,Check
55,Mexico,Check
56,AUSTRALIA,Check
57,BELIZE,Check
58,USA,Check
59,USA,Check
60,USA,Check
61,AUSTRALIA,Check
62,USA,Check
63,USA,Check
64,EGYPT,Check
65,USA,Check
66,USA,Check
67,PHILIPPINES,Check
68,Coral Sea,Check
69,USA,Check
70,USA,Check
71,AUSTRALIA,Check
72,USA,Check
73,USA,Check
74,BAHAMAS,Check
75,SPAIN,Check
76,PORTUGAL,Check
77,SAMOA,Check
78,USA,Check
79,USA,Check
80,USA,Check
81,USA,Check
82,AUSTRALIA,Check
83,AUSTRALIA,Check
84,USA,Check
85,COLOMBIA,Check
86,USA,Check
87,USA,Check
88,SOUTH AFRICA,Check
89,ECUADOR,Check
90,USA,Check
91,USA,Check
92,USA,Check
93,USA,Check
94,USA,Check
95,USA,Check
96,USA,Check
97,USA,Check
98,EGYPT,Check
99,BAHAMAS,Check
100,FRENCH POLYNESIA,Check
101,NEW CALEDONIA,Check
102,TURKS and CaICOS,Check
103,BAHAMAS,Check
104,USA,Check
105,USA,Check
106,USA,Check
107,USA,Check
108,USA,Check
109,AUSTRALIA,Check
110,USA,Check
111,USA,Check
112,CUBA,Check
113,USA,Check
114,SOUTH AFRICA,Check
115,SOUTH AFRICA,Check
116,AUSTRALIA,Check
117,AUSTRALIA,Check
118,USA,Check
119,AUSTRALIA,Check
120,USA,Check
121,USA,Check
122,USA,Check
123,USA,Check
124,CUBA,Check
125,AUSTRALIA,Check
126,USA,Check
127,MEXICO,Check
128,AUSTRALIA,Check
129,BRAZIL,Check
130,BRAZIL,Check
131,SEYCHELLES,Check
132,BRAZIL,Check
133,NEW CALEDONIA,Check
134,USA,Check
135,ARGENTINA,Check
136,FIJI,Check
137,AUSTRALIA,Check
138,AUSTRALIA,Check
139,NEW CALEDONIA,Check
140,USA,Check
141,MeXICO,Check
142,USA,Check
143,Maldives,Check
144,South Africa,Check
145,USA,Check
146,AUSTRALIA,Check
147,USA,Check
148,USA,Check
149,USA,Check
150,USA,Check
151,USA,Check
152,USA,Check
153,USA,Check
154,USA,Check
155,BAHAMAS,Check
156,USA,Check
157,USA,Check
158,AUSTRALIA,Check
159,USA,Check
160,USA,Check
161,AUSTRALIA,Check
162,AUSTRALIA,Check
163,USA,Check
164,SOUTH AFRICA,Check
165,USA,Check
166,BAHAMAS,Check
167,USA,Check
168,AUSTRALIA,Check
169,AUSTRALIA,Check
170,USA,Check
171,USA,Check
172,AUSTRALIA,Check
173,USA,Check
174,USA,Check
175,ENGLAND,Check
176,USA,Check
177,USA,Check
178,USA,Check
179,USA,Check
180,USA,Check
181,USA,Check
182,USA,Check
183,USA,Check
184,USA,Check
185,USA,Check
186,USA,Check
187,JAPAN,Check
188,USA,Check
189,USA,Check
190,INDONESIA,Check
191,EGYPT,Check
192,EGYPT,Check
193,USA,Check
194,USA,Check
195,USA,Check
196,USA,Check
197,SOUTH AFRICA,Check
198,JAMAICA,Check
199,USA,Check
200,USA,Check
201,USA,Check
202,AUSTRALIA,Check
203,AUSTRALIA,Check
204,AUSTRALIA,Check
205,BELIZE,Check
206,MALDIVES,Check
207,FRENCH POLYNESIA,Check
208,USA,Check
209,THAILAND,Check
210,FRENCH POLYNESIA,Check
211,AUSTRALIA,Check
212,USA,Check
213,USA,Check
214,USA,Check
215,USA,Check
216,USA,Check
217,SOUTH AFRICA,Check
218,USA,Check
219,COLUMBIA,Check
220,NEW ZEALAND,Check
221,AUSTRALIA,Check
222,AUSTRALIA,Check
223,USA,Check
224,USA,Check
225,AUSTRALIA,Check
226,USA,Check
227,BAHAMAS,Check
228,AUSTRALIA,Check
229,AUSTRALIA,Check
230,MEXICO,Check
231,USA,Check
232,BAHAMAS,Check
233,COSTA RICA,Check
234,AUSTRALIA,Check
235,AUSTRALIA,Check
236,AUSTRALIA,Check
237,SOUTH AFRICA,Check
238,NEW ZEALAND,Check
239,USA,Check
240,AUSTRALIA,Check
241,AUSTRALIA,Check
242,New Zealand,Check
243,USA,Check
244,AUSTRALIA,Check
245,MEXICO,Check
246,AUSTRALIA,Check
247,AUSTRALIA,Check
248,USA,Check
249,BRAZIL,Check
250,USA,Check
251,AUSTRALIA,Check
252,BRAZIL,Check
253,NEW ZEALAND,Check
254,AUSTRALIA,Check
255,AUSTRALIA,Check
256,USA,Check
257,USA,Check
258,USA,Check
259,EGYPT,Check
