Country,Count,coo_lat,coo_lng,Color
Usa,2550,39.7837304,-100.445882,Top 5
Australia,1485,-24.7761086,134.755,Top 5
South Africa,598,-28.8166236,24.991639,Top 5
New Zealand,145,-41.5000831,172.8344077,Top 5
Bahamas,137,24.7736546,-78.0000547,Top 5
Papua New Guinea,136,-5.6816069,144.2489081,Other
Brazil,122,-10.3333333,-53.2,Other
Mexico,105,19.4326296,-99.1331785,Other
Italy,72,42.6384261,12.674297,Other
Fiji,70,-18.1239696,179.0122737,Other
New Caledonia,65,-20.63784275,161.21176261225781,Other
Philippines,63,12.7503486,122.7312101,Other
Reunion,60,-21.1309332,55.5265771,Other
Cuba,49,23.0131338,-80.8328748,Other
Egypt,49,26.2540493,29.2675469,Other
Spain,46,39.3260685,-4.8379791,Other
Mozambique,46,-19.302233,34.9144977,Other
India,41,22.3511148,78.6677428,Other
French Polynesia,38,-17.0243749,-144.6434898,Other
Japan,36,36.5748441,139.2394179,Other
Croatia,35,45.3658443,15.6575209,Other
Panama,32,8.559559,-81.1308434,Other
Jamaica,31,18.1850507,-77.3947693,Other
Solomon Islands,30,-8.7053941,159.1070693851845,Other
Iran,29,32.6475314,54.5643516,Other
England,25,52.5310214,-1.2649062,Other
Greece,24,38.9953683,21.9877132,Other
Hong Kong,24,22.350627,114.1849161,Other
Indonesia,24,-2.4833826,117.8902853,Other
Costa Rica,18,10.2735633,-84.0739102,Other
Pacific Ocean,17,-0.703107,-120.9375,Other
Atlantic Ocean,17,13.581921,-38.320312,Other
Bermuda,16,32.3040273,-64.7563086,Other
Vietnam,15,15.9266657,107.9650855,Other
Tonga,15,-19.9160819,-175.202642,Other
Vanuatu,14,-16.5255069,168.1069154,Other
Canada,14,61.0666922,-107.991707,Other
Sri Lanka,14,7.5554942,80.7137847,Other
Marshall Islands,13,8.230816999999998,167.7953223704529,Other
France,13,46.603354,1.8883335,Other
Iraq,12,33.0955793,44.1749775,Other
South Atlantic Ocean,12,-45.0,-15.0,Other
Turkey,12,38.9597594,34.9249653,Other
Thailand,12,14.8971921,100.83273,Other
Senegal,11,14.4750607,-14.4529612,Other
Venezuela,11,8.0018709,-66.1109318,Other
United Kingdom,11,54.7023545,-3.2765753,Other
Ecuador,11,-1.3397668,-79.3666965,Other
Kenya,10,1.4419683,38.4313975,Other
Seychelles,10,-4.6574977,55.4540146,Other
New Guinea,10,-5.5226203,142.08711943819077,Other
Samoa,10,-13.7693895,-172.12005,Other
Mauritius,10,-20.2759451,57.5703566,Other
Columbia,10,4.099917,-72.9088133,Other
Sierra Leone,9,8.6400349,-11.8400269,Other
China,9,35.0000663,104.999955,Other
Taiwan,9,23.5983227,120.83537694479215,Other
Belize,8,17.1204943,-88.6859028,Other
South Korea,8,36.638392,127.6961188,Other
Scotland,8,56.7861112,-4.1140518,Other
Caribbean Sea,8,15.0000001,-75.0000001,Other
Chile,8,-31.7613365,-71.3187697,Other
Madagascar,8,-18.9249604,46.4416422,Other
Israel,8,30.8124247,34.8594762,Other
Tanzania,8,-6.5247123,35.7878438,Other
Dominican Republic,7,19.0974031,-70.3028026,Other
Yemen ,7,16.3471243,47.8915271,Other
Indian Ocean,7,-9.9999999,69.9999999,Other
North Pacific Ocean,7,30.0,-170.0,Other
Somalia,6,8.3676771,49.083416,Other
Okinawa,6,26.5707754,128.0255901,Other
Kiribati,6,0.3448612,173.6641773,Other
Libya,6,26.8234472,18.1236723,Other
Singapore,6,1.357107,103.8194992,Other
New Britain,6,-5.2245897,151.55696765353173,Other
Barbados,6,13.1500331,-59.5250305,Other
Nicaragua,6,12.6090157,-85.2936911,Other
Palau,5,41.1810758,9.3820424,Other
Turks & Caicos,5,21.721746,-71.5527809,Other
Mid Atlantic Ocean,5,,,Other
Azores,5,37.80855645,-25.473137391245295,Other
Malta,5,35.8885993,14.4476911,Other
Reunion Island,5,-21.130737949999997,55.536480112992315,Other
Malaysia,5,4.5693754,102.2656823,Other
Saudi Arabia,5,25.6242618,42.3528328,Other
Maldives,4,3.7203503,73.2244152,Other
Russia,4,64.6863136,97.7453061,Other
El Salvador,4,13.8000382,-88.9140683,Other
Burma,4,14.7037865,25.9224696,Other
