id,Date,Year,Date_Comment,Lenght,Country_Comment
30,2024-02-04,2024.0,Date ok,10,Check
33,2024-01-09,2024.0,Date ok,10,Check
34,2024-01-05,2024.0,Date ok,10,Check
39,2023-12-24,2023.0,Date ok,10,Check
95,2023-06-23,2023.0,Date ok,10,Check
96,2023-06-23,2023.0,Date ok,10,Check
99,2023-06-07,2023.0,Date ok,10,Check
107,2023-05-18,2023.0,Date ok,10,Check
108,2023-05-14,2023.0,Date ok,10,Check
109,2023-05-13,2023.0,Date ok,10,Check
110,2023-05-11,2023.0,Date ok,10,Check
111,2023-05-11,2023.0,Date ok,10,Check
113,2023-05-05,2023.0,Date ok,10,Check
114,2023-05-03,2023.0,Date ok,10,Check
115,2023-05-01,2023.0,Date ok,10,Check
116,2023-04-29,2023.0,Date ok,10,Check
117,2023-04-29,2023.0,Date ok,10,Check
118,2023-04-23,2023.0,Date ok,10,Check
119,2023-04-22,2023.0,Date ok,10,Check
120,2023-04-11,2023.0,Date ok,10,Check
121,2023-04-09,2023.0,Date ok,10,Check
122,2023-04-09,2023.0,Date ok,10,Check
123,2023-03-25,2023.0,Date ok,10,Check
124,2023-03-25,2023.0,Date ok,10,Check
125,2023-03-22,2023.0,Date ok,10,Check
126,2023-03-19,2023.0,Date ok,10,Check
127,2023-03-17,2023.0,Date ok,10,Check
128,2023-03-16,2023.0,Date ok,10,Check
129,2023-03-06,2023.0,Date ok,10,Check
130,2023-03-05,2023.0,Date ok,10,Check
131,2023-03-02,2023.0,Date ok,10,Check
132,2023-02-21,2023.0,Date ok,10,Check
133,2023-02-19,2023.0,Date ok,10,Check
134,2023-02-19,2023.0,Date ok,10,Check
135,2023-02-18,2023.0,Date ok,10,Check
136,2023-02-17,2023.0,Date ok,10,Check
137,2023-02-04,2023.0,Date ok,10,Check
138,2023-01-30,2023.0,Date ok,10,Check
141,2023-01-05,2023.0,Date ok,10,Check
142,2023-01-01,2023.0,Date ok,10,Check
143,2023-01-01,2023.0,Date ok,10,Check
144,2022-12-30,2022.0,Date ok,10,Check
145,2022-12-13,2022.0,Date ok,10,Check
147,2022-12-09,2022.0,Date ok,10,Check
148,2022-12-08,2022.0,Date ok,10,Check
149,2022-12-07,2022.0,Date ok,10,Check
150,2022-11-27,2022.0,Date ok,10,Check
151,2022-11-04,2022.0,Date ok,10,Check
152,2022-11-03,2022.0,Date ok,10,Check
153,2022-10-31,2022.0,Date ok,10,Check
154,2022-10-28,2022.0,Date ok,10,Check
155,2022-10-28,2022.0,Date ok,10,Check
156,2022-10-27,2022.0,Date ok,10,Check
158,2022-10-23,2022.0,Date ok,10,Check
159,2022-10-10,2022.0,Date ok,10,Check
160,2022-10-08,2022.0,Date ok,10,Check
161,2022-10-07,2022.0,Date ok,10,Check
162,2022-10-06,2022.0,Date ok,10,Check
163,2022-10-02,2022.0,Date ok,10,Check
164,2022-09-25,2022.0,Date ok,10,Check
165,2022-09-22,2022.0,Date ok,10,Check
166,2022-09-06,2022.0,Date ok,10,Check
167,2022-09-03,2022.0,Date ok,10,Check
168,2022-08-31,2022.0,Date ok,10,Check
169,2022-08-17,2022.0,Date ok,10,Check
170,2022-08-15,2022.0,Date ok,10,Check
171,2022-08-15,2022.0,Date ok,10,Check
172,2022-08-15,2022.0,Date ok,10,Check
173,2022-08-13,2022.0,Date ok,10,Check
174,2022-08-10,2022.0,Date ok,10,Check
175,2022-07-28,2022.0,Date ok,10,Check
176,2022-07-27,2022.0,Date ok,10,Check
177,2022-07-25,2022.0,Date ok,10,Check
178,2022-07-20,2022.0,Date ok,10,Check
179,2022-07-19,2022.0,Date ok,10,Check
180,2022-07-19,2022.0,Date ok,10,Check
181,2022-07-17,2022.0,Date ok,10,Check
182,2022-07-16,2022.0,Date ok,10,Check
183,2022-07-13,2022.0,Date ok,10,Check
184,2022-07-13,2022.0,Date ok,10,Check
185,2022-07-10,2022.0,Date ok,10,Check
186,2022-07-07,2022.0,Date ok,10,Check
187,2022-07-04,2022.0,Date ok,10,Check
188,2022-07-03,2022.0,Date ok,10,Check
189,2022-07-03,2022.0,Date ok,10,Check
190,2022-07-01,2022.0,Date ok,10,Check
191,2022-07-01,2022.0,Date ok,10,Check
192,2022-07-01,2022.0,Date ok,10,Check
193,2022-06-30,2022.0,Date ok,10,Check
194,2022-06-30,2022.0,Date ok,10,Check
195,2022-06-29,2022.0,Date ok,10,Check
196,2022-06-29,2022.0,Date ok,10,Check
197,2022-06-28,2022.0,Date ok,10,Check
198,2022-06-24,2022.0,Date ok,10,Check
199,2022-06-23,2022.0,Date ok,10,Check
200,2022-06-22,2022.0,Date ok,10,Check
201,2022-06-21,2022.0,Date ok,10,Check
202,2022-06-01,2022.0,Date ok,10,Check
203,2022-05-27,2022.0,Date ok,10,Check
204,2022-05-20,2022.0,Date ok,10,Check
205,2022-05-19,2022.0,Date ok,10,Check
206,2022-05-10,2022.0,Date ok,10,Check
207,2022-05-07,2022.0,Date ok,10,Check
208,2022-05-03,2022.0,Date ok,10,Check
209,2022-05-01,2022.0,Date ok,10,Check
210,2022-04-30,2022.0,Date ok,10,Check
212,2022-04-17,2022.0,Date ok,10,Check
213,2022-04-12,2022.0,Date ok,10,Check
214,2022-04-11,2022.0,Date ok,10,Check
215,2022-04-09,2022.0,Date ok,10,Check
216,2022-04-07,2022.0,Date ok,10,Check
217,2022-04-01,2022.0,Date ok,10,Check
218,2022-03-31,2022.0,Date ok,10,Check
219,2022-03-18,2022.0,Date ok,10,Check
220,2022-03-15,2022.0,Date ok,10,Check
221,2022-03-15,2022.0,Date ok,10,Check
222,2022-03-15,2022.0,Date ok,10,Check
223,2022-03-13,2022.0,Date ok,10,Check
224,2022-03-09,2022.0,Date ok,10,Check
225,2022-03-08,2022.0,Date ok,10,Check
226,2022-02-26,2022.0,Date ok,10,Check
227,2022-02-21,2022.0,Date ok,10,Check
228,2022-02-17,2022.0,Date ok,10,Check
229,2022-02-16,2022.0,Date ok,10,Check
230,2022-02-12,2022.0,Date ok,10,Check
231,2022-02-11,2022.0,Date ok,10,Check
233,2022-02-08,2022.0,Date ok,10,Check
234,2022-02-05,2022.0,Date ok,10,Check
235,2022-01-24,2022.0,Date ok,10,Check
236,2022-01-22,2022.0,Date ok,10,Check
237,2022-01-09,2022.0,Date ok,10,Check
238,2022-01-09,2022.0,Date ok,10,Check
239,2022-01-06,2022.0,Date ok,10,Check
240,2022-01-04,2022.0,Date ok,10,Check
241,2022-01-01,2022.0,Date ok,10,Check
242,2021-12-25,2021.0,Date ok,10,Check
243,2021-12-22,2021.0,Date ok,10,Check
246,2021-12-06,2021.0,Date ok,10,Check
247,2021-12-06,2021.0,Date ok,10,Check
248,2021-12-04,2021.0,Date ok,10,Check
250,2021-11-07,2021.0,Date ok,10,Check
251,2021-11-06,2021.0,Date ok,10,Check
252,2021-11-03,2021.0,Date ok,10,Check
253,2021-11-02,2021.0,Date ok,10,Check
254,2021-10-16,2021.0,Date ok,10,Check
255,2021-10-15,2021.0,Date ok,10,Check
256,2021-10-04,2021.0,Date ok,10,Check
257,2021-10-03,2021.0,Date ok,10,Check
258,2021-10-03,2021.0,Date ok,10,Check
259,2021-09-10,2021.0,Date ok,10,Check
260,2021-09-09,2021.0,Date ok,10,Check
261,2021-09-05,2021.0,Date ok,10,Check
262,2021-09-03,2021.0,Date ok,10,Check
263,2021-09-03,2021.0,Date ok,10,Check
264,2021-08-28,2021.0,Date ok,10,Check
265,2021-08-21,2021.0,Date ok,10,Check
266,2021-08-13,2021.0,Date ok,10,Check
267,2021-08-07,2021.0,Date ok,10,Check
268,2021-08-07,2021.0,Date ok,10,Check
269,2021-08-07,2021.0,Date ok,10,Check
270,2021-08-03,2021.0,Date ok,10,Check
271,2021-08-02,2021.0,Date ok,10,Check
272,2021-07-30,2021.0,Date ok,10,Check
273,2021-07-27,2021.0,Date ok,10,Check
274,2021-07-27,2021.0,Date ok,10,Check
275,2021-07-27,2021.0,Date ok,10,Check
276,2021-07-26,2021.0,Date ok,10,Check
277,2021-07-25,2021.0,Date ok,10,Check
278,2021-07-23,2021.0,Date ok,10,Check
279,2021-07-21,2021.0,Date ok,10,Check
280,2021-07-21,2021.0,Date ok,10,Check
281,2021-07-19,2021.0,Date ok,10,Check
282,2021-07-15,2021.0,Date ok,10,Check
283,2021-07-14,2021.0,Date ok,10,Check
285,2021-07-10,2021.0,Date ok,10,Check
286,2021-07-10,2021.0,Date ok,10,Check
287,2021-07-10,2021.0,Date ok,10,Check
288,2021-07-05,2021.0,Date ok,10,Check
289,2021-07-04,2021.0,Date ok,10,Check
290,2021-07-04,2021.0,Date ok,10,Check
291,2021-07-03,2021.0,Date ok,10,Check
292,2021-06-30,2021.0,Date ok,10,Check
293,2021-06-28,2021.0,Date ok,10,Check
294,2021-06-27,2021.0,Date ok,10,Check
295,2021-06-26,2021.0,Date ok,10,Check
296,2021-06-25,2021.0,Date ok,10,Check
297,2021-06-23,2021.0,Date ok,10,Check
298,2021-06-18,2021.0,Date ok,10,Check
299,2021-06-17,2021.0,Date ok,10,Check
300,2021-06-14,2021.0,Date ok,10,Check
301,2021-06-14,2021.0,Date ok,10,Check
302,2021-06-12,2021.0,Date ok,10,Check
303,2021-06-11,2021.0,Date ok,10,Check
304,2021-05-25,2021.0,Date ok,10,Check
305,2021-05-23,2021.0,Date ok,10,Check
306,2021-05-21,2021.0,Date ok,10,Check
307,2021-05-18,2021.0,Date ok,10,Check
308,2021-05-15,2021.0,Date ok,10,Check
309,2021-05-12,2021.0,Date ok,10,Check
310,2021-05-06,2021.0,Date ok,10,Check
311,2021-05-03,2021.0,Date ok,10,Check
312,2021-05-01,2021.0,Date ok,10,Check
313,2021-04-30,2021.0,Date ok,10,Check
314,2021-04-29,2021.0,Date ok,10,Check
315,2021-04-24,2021.0,Date ok,10,Check
316,2021-04-24,2021.0,Date ok,10,Check
317,2021-04-20,2021.0,Date ok,10,Check
318,2021-04-19,2021.0,Date ok,10,Check
319,2021-04-17,2021.0,Date ok,10,Check
320,2021-04-14,2021.0,Date ok,10,Check
321,2021-04-13,2021.0,Date ok,10,Check
322,2021-04-02,2021.0,Date ok,10,Check
